ICAO,IATA,Name,Municipality,Country,
OMAA,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,"24.459418677078066, 54.513534408429564"
LTAF,ADA,Adana Airport,Adana,Turkey,"36.985408620062216, 35.29707030455376"
LTBJ,ADB,Adnan Menderes International Airport,İzmir,Turkey,"38.16636606231564, 32.497090566343076"
OMDW,DWC,Al Maktoum International Airport,Jebel Ali,United Arab Emirates,"24.89790072860904, 55.13009585711555"
OSAP,ALP,Aleppo International Airport,Aleppo,Syria,"36.1845613989882, 37.22725765454283"
UAAA,ALA,Almaty Airport,Almaty,Kazakhstan,"43.34994208261272, 77.02523575464888"
LTAI,AYT,Antalya International Airport,Antalya,Turkey,"36.89421458372653, 30.76163444205126"
UTAA,ASB,Ashgabat International Airport,Ashgabat,Turkmenistan,"37.981177292941965, 58.37353415456748"
UACC,TSE,Astana International Airport,Astana,Kazakhstan,"51.02808197513855, 71.4632491547847"
LTBA,IST,Istanbul Ataturk Airport,Istanbul,Turkey,"41.129048882172455, 28.772152573434244"
ORBI,BGW,Baghdad International Airport,Baghdad,Iraq,"33.26413410703137, 44.23168725616018"
OBBI,BAH,Bahrain International Airport,Manama,Bahrain,"26.26720392536501, 50.63022905443206"
ZBHH,HET,Baita International Airport,Hohhot,China,"27.869748983334297, 86.66066795638933"
VCBI,CMB,Bandaranaike International Colombo Airport,Colombo,Sri Lanka,"7.180176484221176, 79.8841984543471"
ORMM,BSR,Basrah International Airport,Basrah,Iraq,"30.554799184491664, 47.66950892760143"
OSLK,LTK,Bassel Al-Assad International Airport,Latakia,Syria,"35.40728726942741, 35.94416335453259"
ZBAA,PEK,Beijing Capital International Airport,Beijing,China,"40.079873697696506, 116.60305845459786"
ZBAD,PKX,Beijing Daxing International Airport,Beijing,China,"39.50982153441249, 116.41045325458937"
ZBNY,NAY,Beijing Nanyuan Airport,Beijing,China,"39.78251646921448, 116.3877241545935"
OLBA,BEY,Beirut Rafic Hariri International Airport,Beirut,Lebanon,"33.822745556925575, 35.492132004512534"
LLBG,TLV,Ben Gurion International Airport,Tel Aviv,Israel,"32.00555017725267, 34.885357554491094"
WBSB,BWN,Brunei International Airport,Bandar Seri Begawan,Brunei,"4.945485774202409, 114.9341263543487"
VOCL,CCJ,Calicut International Airport,Calicut,India,"11.139748645465142, 75.95073105435041"
ZGHA,CSX,Changsha Huanghua International Airport,Changsha,China,"28.196685593903194, 113.22077965445018"
ZUUU,CTU,Chengdu Shuangliu International Airport,Chengdu,China,"30.568843377710955, 103.95378900603612"
VOMM,MAA,Chennai International Airport,Chennai,India,"20.940478498537548, 91.32521760760906"
VABB,BOM,Mumbai International Airport,Mumbai,India,"19.064541174369726, 72.9443760801972"
VTCC,CNX,Chiang Mai International Airport,Chiang Mai,Thailand,"18.768699232406565, 98.96952495564824"
ZMUB,ULN,Chinggis Khaan International Airport,Ulan Bator,Mongolia,"47.7526359993776, 106.78832262292195"
ZUCK,CKG,Chongqing Jiangbei International Airport,Chongqing,China,"29.719185317255516, 106.64161305446574"
RJGG,NGO,Chubu Centrair International Airport,Tokoname,Japan,"34.85756815663026, 136.81067415747356"
VOCI,COK,Cochin International Airport,Kochi,India,"10.154557764106007, 76.38771800553094"
VVDN,DAD,Da Nang International Airport,Da Nang,Vietnam,"16.05555905757, 108.20254507757417"
VOGO,GOI,Dabolim Airport,Vasco da Gama,India,"15.38329492821581, 73.83674395436245"
LTBS,DLM,Dalaman International Airport,Dalaman,Turkey,"36.71814768014618, 28.79326355455005"
OSDI,DAM,Damascus International Airport,Damascus,Syria,"33.4113154923482, 36.51277755450744"
RPLC,CRK,Diosdado Macapagal International Airport,Angeles/Mabalacat,Philippines,"15.186489497769472, 120.55753495436136"
WASS,SOQ,Dominique Edward Osok Airport,Sorong-Papua Island,Indonesia,"-0.8903006442653555, 131.29057605436387"
VTBD,DMK,Don Mueang International Airport,Bangkok,Thailand,"13.913281018368055, 100.6041450543573"
OMDB,DXB,Dubai International Airport,Dubai,United Arab Emirates,"25.257221518656422, 55.3577852008297"
OODQ,DQM,Duqm International Airport,Duqm,Oman,"19.502920670557998, 57.63869759814758"
LTCE,ERZ,Erzurum International Airport,Erzurum,Turkey,"39.96148932622203, 41.17920405459615"
LTAC,ESB,Esenboğa International Airport,Ankara,Turkey,"39.48513691556098, 38.25917212002149"
RPMD,DVO,Francisco Bangoy International Airport,Davao City,Philippines,"7.130424986577146, 125.6454699543472"
RJFF,FUK,Fukuoka Airport,Fukuoka,Japan,"33.59103443945049, 130.44628120097738"
ZSFZ,FOC,Fuzhou Changle International Airport,Fuzhou,China,"25.871437344587427, 119.693415159278"
LTAJ,GZT,Gaziantep International Airport,Gaziantep,Turkey,"36.94371212692659, 37.48163050167523"
RKPK,PUS,Gimhae International Airport,Busan,South Korea,"35.17257587026595, 128.94743440452936"
RKSS,GMP,Gimpo International Airport,Seoul,South Korea,"37.561473714815236, 126.80269785181217"
ZGGG,CAN,Guangzhou Baiyun International Airport,Guangzhou,China,"23.39592757825321, 113.30791625440845"
ZGKL,KWL,Guilin Liangjiang International Airport,Guilin City,China,"25.215898896838354, 110.04701165442306"
ZJHK,HAK,Haikou Meilan International Airport,Haikou,China,"19.9387171580577, 110.46012185438488"
OTHH,DOH,Hamad International Airport,Doha,Qatar,"25.26089528963223, 51.61378805442332"
ZSHC,HGH,Hangzhou Xiaoshan International Airport,Hangzhou,China,"30.232836165646514, 120.43224975035669"
WAAA,UPG,Hasanuddin International Airport,Ujung Pandang-Celebes Island,Indonesia,"-5.069722987812956, 119.54911530567377"
VGHS,DAC,Hazrat Shahjalal International Airport,Dhaka,Bangladesh,"23.843454010879697, 90.40287155441185"
UBBB,GYD,Heydar Aliyev International Airport,Baku,Azerbaijan,"40.46562910426222, 50.05209085460391"
VHHH,HKG,Hong Kong International Airport,Hong Kong,Hong Kong,"22.308066837024295, 113.91842715440039"
OIIE,IKA,Imam Khomeini International Airport,Tehran,Iran,"35.40957046893123, 51.15527085453273"
